YEAR,Sacramento River Mainstem In-River 1/,Sacramento River Mainstem Trans. to TCFF 2/,Sacramento River Mainstem TOTAL,TCFF,Salt Ck,Antelope Ck,Craig Ck,Dye Ck,Mill Ck,Toomes Ck,Thomes Ck,Deer Ck,Coyote Ck,Stoney Ck,Singer Ck,Big Chico,Other 3/
1952,56284,,56284,,,,,,16000,,,12000,,,,,3000
1953,86591,,86591,,,4000,,,10000,,,4000,,,,,700
1954,58449,,58449,,,1000,,,7000,,,3000,,,,,2000
1955,48707,,48707,,,900,,,3000,,,,,,,,600
1956,5800,,5800,,,327,,,896,5,,120,,,,,1500
1957,12200,,12200,,,838,,25,5316,,25,2195,,,,50,800
1958,20600,,20600,,,400,,,4340,,,1300,,,,,2200
1959,9900,,9900,,,,,,837,,,10,,,,,1500
1960,14000,,14000,,,250,,,940,,,800,,,,,
1961,9400,,9400,,,,,,1689,,,,,,,,
1962,8500,,8500,,,800,,,4384,,,2000,,,,,
1963,6800,,6800,,,300,,,1286,,,1249,,,,,
1964,5500,,5500,,,50,,,450,,,100,,,,,
1965,1500,,1500,,,60,,,150,,,200,,,,,
1966,3100,,3100,,,200,,,500,,,100,,,,,
1967,9200,,9200,,,60,,,500,,,60,,,,,
1968,11800,,11800,,,80,,,750,,,270,,,,,
1969,17600,,17600,,,180,,20,1700,40,,750,,,,,
1970,5860,,5860,,,400,,,690,,,500,,,,,
1971,22920,4741,27661,295,,205,,100,980,,,248,,,,,
1972,15350,1671,17021,110,30,275,,50,631,25,,304,,,15,,
1973,16599,2491,19090,886,43,200,90,153,420,40,,676,,,90,,
1974,27127,2234,29361,843,,440,140,,944,,60,640,100,,,,
1975,34200,1973,36173,1994,,90,270,,1208,,170,328,160,,,,
1976,36100,1882,37982,1430,,60,,,245,20,,315,160,,,,
1977,44074,3146,47220,1669,,660,,,318,120,,220,200,,,,
1978,45921,2085,48006,2052,,,,,300,,,90,,,,,
1979,64932,53,64985,2456,,,,,810,,,780,,,,,
1980,28413,175,28588,1865,,,,,320,,151,210,,,,,
1981,40340,,40340,2384,,407,100,,1020,,167,820,,393,,,
1982,22578,,22578,1225,20,162,90,25,1290,15,,480,,,,,
1983,30751,,30751,1267,15,60,60,20,200,15,,370,,,,500,
1984,17960,,17960,1206,30,260,60,50,5800,50,,680,,,20,200,
1985,42028,,42028,4752,,,,,3840,,,900,,,,25,
1986,38544,,38544,,,,,,574,,,256,,,,,
1987,31120,,31120,,,,,,282,,,64,,,,,
1988,18262,,18262,,,,,,1487,,,,,,,,
1989,10101,,10101,,,,,,1565,,,358,,,,,
1990,16175,,16175,,,,,,,,,,,,,,
1991,10108,,10108,,,,,,,,,,,,,,
1992,8315,,8315,,,0,,,999,,,,,,,,
1993,12760,,12760,,,,,,1975,,,72,,,,,
1994,13817,,13817,,,,,,1081,,,307,,,,,
1995,10549,,10549,,,,,,,,,,,,,,
1996,12361,,12361,,,,,,,,,,,,,,
1997,20531,,20531,,,,,,478,,,1203,,,,,
1998,600,,600,,,,,,546,,,270,,,,,
1999,27827,,27827,,,,,,,,,,,,,,
2000,8895,,8895,,,,,,,,,,,,,,
2001,17376,,17376,,,,,,,,,,,,,,
2002,20138,,20138,,,,,,2611,,,,,,,,
2003,22744,,22744,,,,,,2426,,,,,,,,
2004,9554,,9554,,,,,,1192,,,300,,,,,
2005,12062,,12062,,,,,,2426,,,963,,,,,
2006,8900,,8900,,,,,,1403,,,1905,,,,,
2007,2964,,2964,,,,,,851,,,563,,,,,
2008,1609,,1609,,,,,,218,,,194,,,,,
[2009],516,,516,,,,,,102,,,58,,,,,
[2010],2548,,2548,,,,,,144,,,166,,,,,
[2011],1293,,1293,,,,,,1231,,,662,,,,,
[2012],6266,,6266,,,,,,890,,,873,,,,,
[2013],7569,,7569,,,,,,2197,,,1026,,,,,
[2014],4897,,4897,,,143,,,2488,,,849,,,,,
[2015],6893,,6893,,,6,,,1033,,,612,,,,,
[2016],309,,309,,,138,,,602,,,253,,,,,
[2017],41,,41,,,3,,,342,,,106,,,,,
[2018],455,,455,,,0,,,611,,,124,,,,,
[2019],949,,949,,,56,,,2523,,,584,,,,,
[2020],575,,575,,,0,,,382,,,60,,,,,
[2021],716,,716,,,36,,,589,,,210,,,,,
[2022],68,,68,,,0,,,214,,,7,,,,,
[2023],826,,826,,,0,,,360,,,27,,,,,
[2024],89,,89,,,0,,,209,,,26,,,,,
[2025],,,,,,,,,,,,,,,,,